17.06.2026                                                       °“√· ¥ß√“¬°“√·∫∫‰¥π“¡‘°                                                               1
--------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------
|  «— ¥ÿ        |§”Õ∏‘∫“¬«— ¥ÿ                           |Plnt|„∫ —Ëß|‚§√ß¢Ë“¬  |        Õß§Ïª√–°Õ∫ WBS|MvT|ª¡.µÈÕß°“√|RemovedQty|ª√‘¡“≥µË“ß|«—πµÈÕß°“√|
--------------------------------------------------------------------------------------------------------------------------------------------------------
|  1-00-001-0006|POLE 14 M.                              |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       11 |        0 |       11 |02.09.2025|
|  1-00-001-0012|POLE 12.2 M.                            |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       14 |        6 |        8 |02.09.2025|
|  1-00-004-0001|ANCHOR,PLATE, CONCRETE 550X550X150 MM.  |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       14 |       14 |        0 |02.09.2025|
|  1-00-011-0003|CROSSARM (FOR D/E) 120X120X2,000 MM.    |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       18 |       18 |        0 |02.09.2025|
|  1-00-011-0004|CROSSARM (FOR D/E) 120X120X2,500 MM.    |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       20 |       20 |        0 |02.09.2025|
|  1-01-010-0000|WIRE,ST. SOLID DIA. 4.0 MM.TIS.71       |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       50 |       50 |        0 |02.09.2025|
|  1-01-010-0004|ST. WIRE, STRANDED 50/7 SQ.MM.TIS.404   |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|    5,600 |    5,600 |        0 |02.09.2025|
|  1-01-010-0006|ST. WIRE, STRANDED 95 SQ.MM.TIS.404     |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|      300 |      300 |        0 |02.09.2025|
|  1-01-011-0201|BOLT,MACHINE M.16X170 MM.               |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|      206 |      206 |        0 |02.09.2025|
|  1-01-011-0203|BOLT,MACHINE M.16X250 MM.               |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       19 |       19 |        0 |02.09.2025|
|  1-01-011-0204|BOLT,MACHINE M.16X300 MM.               |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       15 |       15 |        0 |02.09.2025|
|  1-01-011-0206|BOLT,MACHINE M.16X400 MM.               |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       70 |       70 |        0 |02.09.2025|
|  1-01-011-0208|BOLT,MACHINE M.16X500 MM.               |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       70 |       70 |        0 |02.09.2025|
|  1-01-011-0209|BOLT MACHINE M.16X600 MM.               |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       16 |       16 |        0 |02.09.2025|
|  1-01-013-0002|BOLT,DOUBLE ARMING,ROUND EYE M.16X500MM.|D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       32 |       32 |        0 |02.09.2025|
|  1-01-013-0003|BOLT,DOUBLE ARMING,ROUND EYE M.16X600MM.|D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       26 |       26 |        0 |02.09.2025|
|  1-01-018-0001|NUT,EYE M.16 DIN 582                    |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       48 |       48 |        0 |02.09.2025|
|  1-01-018-0100|WASHER,PLAIN,SQUARE, 52X52X4.5 MM.      |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|      577 |      577 |        0 |02.09.2025|
|  1-01-018-0201|WASHER,SQUARE,CURVED 60X60X5 MM.        |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       60 |       60 |        0 |02.09.2025|
|  1-01-018-0301|WASHER,LOCK,SPRING,SIZE 16 MM.,TIS.259  |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|        8 |        8 |        0 |02.09.2025|
|  1-01-020-0001|BRACE,FLAT,FOR CROSSARM 30X6X760 MM.    |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|      206 |      206 |        0 |02.09.2025|
|  1-01-021-0000|ROD,ANCHOR,ROUND EYE M.16, 2 M.LONG     |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       14 |       14 |        0 |02.09.2025|
|  1-01-021-0201|BOLT,STRAND EYE, 45 DEG.M.16X250 MM.    |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       10 |       10 |        0 |02.09.2025|
|  1-01-021-0304|THIMBLE,GUY,FOR STEEL WIRE 50-95 SQ.MM. |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       68 |       68 |        0 |02.09.2025|
|  1-01-022-0002|GROUND ROD,60X60X5 MM. 2 M.LONG         |D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|        6 |        6 |        0 |02.09.2025|
|  1-01-022-0123|WELDING POWDER, ST. WIRE 50 SQ.MM. TO GD|D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       18 |        0 |       18 |02.09.2025|
|  1-01-023-0000|CLAMP,SINGLE U-BOLT,M.8 (WIRE ROPE CLIP)|D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|      510 |      510 |        0 |02.09.2025|
|  1-01-023-0001|CLAMP,DOUBLE U-BOLT,M.16(WIRE ROPE CLIP)|D060|      |6000980432|P-SEZ02.0-D-NPND0.2042|281|       64 |       64 |        0 |02.09.2025|
